项目地址,项目说明(3-5句话),语言
https://github.com/affaan-m/everything-claude-code,Everything Claude Code是Claude Code的全面使用指南，涵盖各种场景和应用案例。它帮助新用户快速上手并深入掌握AI编程助手。,Markdown
https://github.com/andrewyng/context-hub,Context Hub是一个上下文管理平台，帮助组织和检索项目相关的上下文信息。它支持团队共享和增量更新，适合大型软件开发项目。,TypeScript
https://github.com/opendataloader-project/opendataloader-pdf,OpenDataLoader PDF是一个PDF数据提取工具，从PDF文档中提取结构化数据用于分析。它支持批量处理和自定义提取规则。,Python
https://github.com/TauricResearch/TradingAgents,TradingAgents是量化交易智能体系统，结合多Agent协作进行市场分析和策略开发。它提供数据分析、信号生成和风险管理的一体化解决方案。,Python
https://github.com/openrocket/openrocket,OpenRocket是一个开源的火箭仿真和设计工具，支持从概念设计到性能分析的完整流程。它为航天爱好者和学生提供学习火箭工程的教育平台。,Java
https://github.com/systemd/systemd,systemd是Linux系统和服务管理器，负责系统启动、服务管理和日志记录等核心功能。它是大多数现代Linux发行版的基础组件。,C
https://github.com/jamwithai/production-agentic-rag-course,Production Agentic RAG Course是生产级RAG系统的实战课程，从架构设计到部署运维全面讲解。它帮助开发者构建可投入生产的检索增强生成应用。,Python
https://github.com/HKUDS/LightRAG,LightRAG是香港大学开源的轻量级检索增强生成框架，专为资源受限环境优化。它提供高效的检索和生成能力，适合边缘部署场景。,Python
https://github.com/harry0703/MoneyPrinterTurbo,MoneyPrinterTurbo是一个AI驱动的视频创作工具，自动生成配图、配音和字幕的短视频。它用于批量生产营销内容和社交媒体视频。,Python
https://github.com/tinygrad/tinygrad,tinygrad是一个极简深度学习框架，用不到1000行代码实现核心功能。它旨在帮助理解深度学习框架的工作原理，同时保持良好的性能。,Python
https://github.com/jingyaogong/minimind,Minimind是一个轻量级大语言模型实现，从零开始构建简化版的Transformer架构。它帮助学习者理解LLM的内部工作机制。,Python
https://github.com/kepano/obsidian-skills,Obsidian Skills是Obsidian笔记软件的技能扩展，提供知识管理和笔记整理的自动化能力。它帮助用户更好地组织和管理个人知识库。,Python
https://github.com/hesreallyhim/awesome-claude-code,Awesome Claude Code是Claude Code资源精选，汇集教程、插件和使用技巧。它帮助开发者充分利用AI编程助手提升开发效率。,Markdown
https://github.com/pascalorg/editor,Editor Pascal是一个轻量级代码编辑器，提供语法高亮和多语言支持。它适合需要快速编辑代码场景的开发者使用。,Pascal
https://github.com/mvanhorn/last30days-skill,Last30days Skill是一个时间追踪技能，记录和分析过去30天的活动和任务。它帮助用户回顾和规划个人时间使用。,Python
https://github.com/BerriAI/litellm,LiteLLM是一个统一的大语言模型调用接口，支持OpenAI、Anthropic、Google等多家提供商的LLM。它简化多模型切换和成本优化的应用开发。,Python
https://github.com/usestrix/strix,Strix是一个AI辅助开发工具，提供代码补全、重构建议和文档生成功能。它帮助开发者快速完成日常编码任务。,TypeScript
https://github.com/letta-ai/claude-subconscious,Claude Subconscious是Letta开发的潜意识的Claude集成模块，提供深层记忆和隐式偏好管理。它让AI能够学习和适应用户的个性化习惯。,Python
https://github.com/Yeachan-Heo/oh-my-claudecode,Oh My Claude Code是Claude Code的配置管理框架，帮助组织和同步开发环境的AI设置。它提升团队协作和配置复用效率。,Shell
https://github.com/Vaibhavs10/insanely-fast-whisper,Insanely Fast Whisper是Whisper的优化版本，大幅提升语音识别推理速度。它支持实时转录和批量处理，适合需要快速处理音频的应用场景。,Python
https://github.com/datalab-to/chandra,Chandra是一个数据实验室工具集，提供数据清洗、分析和可视化的完整工具链。它帮助数据分析师快速完成从原始数据到洞察的转化。,Python
https://github.com/onyx-dot-app/onyx,Onyx是一个开源的AI助手平台，支持自定义技能和工作流集成。它提供灵活的扩展机制，适合构建企业级AI应用。,TypeScript
https://github.com/manaflow-ai/cmux,CMux是一个并发多路复用工具，优化AI推理的批量处理和资源利用。它帮助降低AI应用的响应延迟和运营成本。,Rust
https://github.com/luongnv89/claude-howto,Claude Howto是Claude使用指南集合，提供各类场景下的最佳实践和解决方案。它帮助用户快速找到使用AI助手的方法。,Markdown
https://github.com/fastfetch-cli/fastfetch,Fastfetch是一个性能信息展示工具，比Neofetch更快更现代。它显示系统信息、硬件状态和运行时数据，用于系统诊断和配置展示。,C
https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp是一个开源编程学习平台，提供从基础到进阶的编程课程和实战项目。它帮助数百万人学习Web开发、数据科学和全栈技能。,JavaScript
https://github.com/sherlock-project/sherlock,Sherlock是一个用户名查找工具，通过社交媒体和网站数据库搜索特定用户的在线存在。它用于数字调查和品牌监控等安全研究场景。,Python
https://github.com/Dimillian/Skills,Skills Dimillian是一个技能资源库，汇集各类AI应用开发和集成的技能指南。它帮助开发者快速掌握AI应用的构建方法。,Python
https://github.com/neovim/neovim,Neovim是一个现代化编辑器，是Vim的升级版本。它提供更好的插件系统、LSP支持和异步操作，让经典编辑器焕发新活力。,Lua
https://github.com/jwasham/coding-interview-university,Coding Interview University是一份成为软件工程师的学习计划，涵盖算法、系统设计和计算机基础。它帮助求职者系统准备技术面试。,Markdown
https://github.com/aaif-goose/goose,Goose是Linux基金会旗下的AI编程代理，支持代码生成、编辑和测试执行。它由Block开源后迁移至Agentic AI Foundation，是增长最快的AI Agent项目之一。,Rust
https://github.com/forrestchang/andrej-karpathy-skills,Andrej Karpathy Skills是学习Karpathy教授AI技能的指南，汇集了他关于神经网络、大模型和自动驾驶的课程资源。它帮助学习者深入理解AI核心概念。,Python
https://github.com/goharbor/harbor,Harbor是一个开源的容器镜像仓库，支持镜像存储、签名扫描和安全扫描。它是企业级容器编排的重要基础设施。,Go
https://github.com/coleam00/Archon,Archon是一个AI驱动的系统管理框架，提供自动化运维和智能监控能力。它简化复杂系统的管理和故障处理。,Python
https://github.com/shiyu-coder/Kronos,Kronos是一个时间序列分析工具，用于处理和预测时间相关数据。它支持异常检测和趋势预测，适合监控和预测分析场景。,Python
https://github.com/multica-ai/multica,Multica是一个多模态AI框架，支持文本、图像和音频的统一处理。它为构建多模态应用提供标准化的开发接口。,Python
https://github.com/Lordog/dive-into-llms,Dive Into LLMs是一份深入学习大语言模型的教程，从理论到实践全面讲解。它帮助开发者和研究人员系统掌握LLM技术。,Python
https://github.com/vercel-labs/open-agents,Open Agents是Vercel开源的AI Agent框架，提供构建和部署智能代理的工具集。它支持多种LLM提供商的集成。,TypeScript
https://github.com/lsdefine/GenericAgent,GenericAgent是一个通用AI代理框架，设计用于处理各种类型的任务。它提供灵活的工具调用和状态管理机制。,Python
https://github.com/google/magika,Magika是Google开源的内容类型检测工具，使用深度学习识别文件格式。它能准确识别超过100种文件类型，适合安全分析和数据处理场景。,Python
https://github.com/Donchitos/Claude-Code-Game-Studios,Claude Code Game Studios是使用Claude Code开发游戏的教程合集。它帮助游戏开发者利用AI加速游戏开发和原型设计。,TypeScript
https://github.com/addyosmani/agent-skills,Agent Skills是addyosmani整理的AI Agent开发技能集合，涵盖最佳实践和实用工具。它帮助开发者构建更可靠的AI代理系统。,JavaScript
https://github.com/steipete/wacli,wacli是一个命令行工具，用于与WhatsApp Web交互和自动化消息处理。它支持群组管理和消息调度等高级功能。,Swift
https://github.com/z-lab/dflash,Dflash是一个快速数据处理库，专注于大规模数据的并行处理和分析。它利用现代硬件加速数据密集型计算任务。,C++
https://github.com/openai/openai-agents-python,OpenAI Agents Python是OpenAI官方的Python Agent开发库，提供构建AI代理的工具和接口。它支持函数调用、对话管理和多Agent协作等核心功能。,Python
https://github.com/EvoMap/evolver,Evolver是一个AI模型优化工具，通过自动化调参提升模型性能。它支持多种优化算法和超参数搜索策略。,Python
https://github.com/BasedHardware/omi,Omi是基于硬件的AI助手项目，提供与物理设备集成的AI能力。它支持语音交互和环境感知等物联网应用。,TypeScript
https://github.com/openai/parameter-golf,Parameter Golf是OpenAI的模型参数优化工具，通过精简参数数量保持模型性能。它帮助在边缘设备上部署轻量级模型。,Python
https://github.com/SimoneAvogadro/android-reverse-engineering-skill,Android Reverse Engineering Skill是安卓逆向工程的学习资源，涵盖反编译、调试和修改Android应用的技能。它帮助安全研究人员和开发者理解App内部机制。,Python
https://github.com/lukilabs/craft-agents-oss,Craft Agents OSS是一个开源的AI代理集合，提供各种自动化任务的能力。它帮助快速构建具有特定功能的AI应用。,Python
https://github.com/Tracer-Cloud/opensre,OpenSRE是一个开源站点可靠性工程工具集，提供监控、告警和自动化运维功能。它帮助团队提升系统可靠性和运维效率。,Go
https://github.com/pingdotgg/t3code,T3Code是一个现代化Web开发框架，提供类型安全的前后端开发体验。它基于TypeScript和现代工具链提升开发效率。,TypeScript
https://github.com/thunderbird/thunderbolt,Thunderbolt是Thunderbird邮件客户端的AI增强插件，提供智能分类、摘要和回复建议功能。它提升邮件处理效率和用户体验。,Rust
https://github.com/deepseek-ai/DeepGEMM,DeepGEMM是深度求索开源的高效矩阵运算库，针对大语言模型优化。它提供FP8低精度计算支持，显著加速Transformer模型的推理。,C++/CUDA
https://github.com/aaddrick/claude-desktop-debian,Claude Desktop Debian是在Debian系统上运行Claude桌面应用的指南和脚本。它帮助用户在Linux桌面环境中部署AI助手。,Shell
https://github.com/rustdesk/rustdesk,RustDesk是一个开源的远程桌面软件，用Rust编写确保高性能和安全性。它支持自托管部署，是TeamViewer的替代方案。,Rust
https://github.com/tractorjuice/arc-kit,Arc-kit是一个开发工具集，提供代码生成、测试辅助和文档自动化功能。它帮助开发者加速日常开发工作流程。,TypeScript
https://github.com/multica-ai/andrej-karpathy-skills,Andrej Karpathy Skills Multica是Karpathy AI课程的多语言适配版本。它帮助非英语用户学习神经网络和深度学习。,Python
https://github.com/Fincept-Corporation/FinceptTerminal,FinceptTerminal是一个金融终端平台，提供市场数据、分析工具和交易接口。它帮助投资者和交易员做出数据驱动的决策。,Python
https://github.com/paperless-ngx/paperless-ngx,Paperless-ngx是一个开源文档管理系统，通过OCR技术将纸质文档数字化。它提供搜索、标签和协作功能，是家庭和小型办公室的文档管理解决方案。,Python
https://github.com/pi-hole/pi-hole,Pi-hole是一个网络级广告和追踪器屏蔽器，运行在树莓派等设备上。它通过DNS过滤去除广告和保护隐私，适合家庭网络使用。,Python
https://github.com/XTLS/Xray-core,Xray-core是一个网络代理工具，支持多种协议和混淆方式。它用于安全上网和流量管理，是网络研究的重要工具。,Go
https://github.com/warproxxx/poly_data,Poly Data是一个数据处理工具集，提供数据清洗、转换和聚合功能。它支持多种数据源和格式，适合数据工程师使用。,Python
https://github.com/zilliztech/claude-context,Claude Context是Zilliz提供的向量数据库集成，让Claude能访问大规模向量数据。它支持语义搜索和相似性检索能力。,Python
https://github.com/microsoft/ai-agents-for-beginners,AI Agents for Beginners是微软官方的AI Agent入门教程，通过实践项目学习Agent开发基础。它覆盖工具调用、对话管理和多Agent协作等主题。,Python
https://github.com/dayanch96/YTLite,YTLite是一个非官方的YouTube应用，提供去广告和后台播放等增强功能。它适用于需要更流畅YouTube体验的用户。,Swift
https://github.com/HKUDS/RAG-Anything,RAG-Anything是香港大学开源的多模态RAG框架，支持处理各种类型的知识内容。它提供统一的接口处理文档、图像和视频等数据。,Python
https://github.com/VoltAgent/awesome-agent-skills,Awesome Agent Skills是VoltAgent整理的AI Agent技能精选，覆盖各种应用场景和开发需求。它帮助开发者快速找到合适的技能解决方案。,TypeScript
https://github.com/langfuse/langfuse,Langfuse是一个开源的LLM应用监控和分析平台，帮助追踪和优化AI应用的性能。它提供调用追踪、成本分析和质量评估功能。,TypeScript
https://github.com/open-metadata/OpenMetadata,OpenMetadata是一个数据治理平台，统一管理数据资产、发现和协作。它支持元数据标准化和数据质量监控。,Java
https://github.com/AIDC-AI/Pixelle-Video,Pixelle-Video是一个AI视频生成和编辑工具，支持多种风格转换和特效添加。它帮助创作者快速生成和编辑视频内容。,Python
https://github.com/Z4nzu/hackingtool,HackingTool是一个聚合多种黑客工具的渗透测试框架，包含信息收集、漏洞扫描和利用等功能。它用于网络安全研究和教学，需在授权范围内使用。,Python
https://github.com/vercel-labs/skills,Vercel Skills是Vercel官方的AI技能库，提供部署、优化和监控等开发任务的自动化能力。它帮助开发者更高效地使用Vercel平台。,TypeScript
https://github.com/huggingface/ml-intern,ML Intern是Hugging Face的机器学习实习教程，通过实际项目学习ML工程技能。它涵盖模型训练、部署和优化的完整流程。,Python
https://github.com/Anil-matcha/Open-Generative-AI,Open Generative AI是开源生成式AI应用的合集，展示多种AI生成能力的应用案例。它帮助开发者了解生成式AI的应用方向。,Python
https://github.com/Alishahryar1/free-claude-code,Free Claude Code是一个免费使用Claude Code的指南和工具集。它帮助用户在预算有限的情况下利用AI辅助编程。,Markdown
https://github.com/mksglu/context-mode,Context Mode是一个上下文管理工具，帮助组织AI对话的上下文信息。它提升长对话场景下的AI响应质量。,Python
https://github.com/coreyhaines31/marketingskills,Marketing Skills是营销相关的AI技能合集，帮助自动化内容创作和数据分析。它提升营销团队的工作效率和创意产出。,Python
https://github.com/chiphuyen/aie-book,AIE Book是AI工程相关书籍的精选合集，涵盖机器学习、系统设计和产品开发等主题。它帮助开发者扩展AI领域的知识储备。,Markdown
https://github.com/hugohe3/ppt-master,PPT Master是一个AI驱动的演示文稿生成工具，自动创建专业级PPT。它支持多种主题和风格，适合商务和教育场景。,Python
https://github.com/rtk-ai/rtk,RTK是一个实时知识图谱工具，支持动态更新和即时查询。它用于需要快速访问和更新关联数据的应用场景。,Python
https://github.com/RooCodeInc/Roo-Code,Roo-Code是一个AI编程助手，基于Claude提供代码补全和重构建议。它帮助开发者提升编程效率和代码质量。,TypeScript
https://github.com/CJackHwang/ds2api,DS2API是一个数据科学API集合，提供统计分析和机器学习的接口服务。它帮助开发者快速集成数据科学能力到应用中。,Python
https://github.com/ComposioHQ/awesome-codex-skills,Awesome Codex Skills是OpenAI Codex的技能精选，帮助开发者利用AI提升编码效率。它提供代码生成、调试和文档化的自动化能力。,Python
https://github.com/trycua/cua,CUA是一个通用AI代理，通过自然语言界面执行各种计算机任务。它由OpenAI开发，展示了AI操作电脑的潜力。,Python
https://github.com/donnemartin/system-design-primer,System Design Primer是系统设计学习资源，涵盖分布式系统、数据库和微服务架构等主题。它帮助准备技术面试和提升架构设计能力。,Python
https://github.com/GyulyVGC/sniffnet,Sniffnet是一个网络流量监控工具，可视化显示网络活动和流量统计。它帮助用户了解网络使用情况和发现异常行为。,Rust
https://github.com/EbookFoundation/free-programming-books,Free Programming Books是免费编程书籍精选，收录各种语言的教程和参考手册。它是学习编程的重要资源库。,Markdown
https://github.com/iamgio/quarkdown,Quarkdown是一个现代文档生成工具，支持从Markdown创建精美PDF和演示文稿。它提供丰富的样式定制选项。,Kotlin
https://github.com/warpdotdev/warp,Warp是一个现代化终端模拟器，提供命令自动补全、历史记录管理和团队协作功能。它重新定义了命令行工具的用户体验。,Rust
https://github.com/1jehuang/jcode,JCode是一个AI代码开发工具，提供代码补全、重构和审查能力。它帮助开发者快速完成编码任务。,TypeScript
https://github.com/ZhuLinsen/daily_stock_analysis,Daily Stock Analysis是一个股票分析工具，提供每日市场数据分析和可视化。它帮助投资者跟踪和分析股票走势。,Python
https://github.com/soxoj/maigret,Maigret是一个用户名枚举工具，通过多个网站搜索特定用户的在线账户。它用于开源情报收集和数字调查。,Python
https://github.com/iv-org/invidious,Invidious是一个开源的YouTube前端，不依赖Google服务即可观看视频。它保护用户隐私，支持自定义服务器部署。,Ruby
https://github.com/gorhill/uBlock,uBlock是一个高效的广告屏蔽器，比传统扩展消耗更少资源。它支持自定义规则和高级过滤功能。,JavaScript
https://github.com/ghostty-org/ghostty, Ghostty是一个跨平台终端模拟器，注重速度和界面美观。它支持GPU加速渲染和现代终端功能。,Zig
https://github.com/ForrestKnight/open-source-cs,Open Source CS是计算机科学自学资源精选，弥补正规课程可能缺少的现代知识。它帮助自学者获得完整的CS教育。,Markdown
https://github.com/browserbase/skills,Browserbase Skills是Browserbase提供的浏览器自动化技能，用于构建网页交互和爬虫应用。它支持无头浏览器和数据提取任务。,TypeScript
https://github.com/ShareX/ShareX,ShareX是一个Windows截图和文件分享工具，支持多种上传方式和自动化工作流。它是内容创作者和开发者的得力助手。,C#
https://github.com/Hmbown/DeepSeek-TUI,DeepSeek TUI是一个DeepSeek模型的终端界面，提供本地运行的AI对话能力。它让用户通过命令行与AI交互。,Rust
https://github.com/openwrt/openwrt,OpenWrt是一个嵌入式设备的Linux发行版，主要用于路由器。它提供可定制的固件和丰富的软件包支持。,C
https://github.com/Arindam200/awesome-ai-apps,Awesome AI Apps是AI应用精选合集，收录各类基于大语言模型的应用案例。它帮助发现和学习AI应用的最新趋势。,Python
https://github.com/LearningCircuit/local-deep-research,Local Deep Research是一个本地运行的深度研究工具，使用LLM进行信息检索和分析。它保护数据隐私不依赖云服务。,Python
https://github.com/PriorLabs/TabPFN,TabPFN是一个表格数据预测模型，专为中小规模数据集优化。它提供无需超参数调优的高质量预测能力。,Python
https://github.com/zed-industries/zed,Zed是一个高性能代码编辑器，由Atom和Tree-sitter的创作者开发。它注重速度和协作功能，是VSCode的竞争者。,Rust
https://github.com/anthropics/financial-services,Anthropic Financial Services是Anthropic为金融服务行业提供的AI解决方案，展示如何安全地应用Claude处理金融数据。它涵盖合规、隐私和准确性等关键考量。,Python
https://github.com/BigBodyCobain/Shadowbroker,Shadowbroker是一个网络安全工具集，包含漏洞利用和渗透测试功能。它用于安全研究和授权测试，需在合法范围内使用。,Python
https://github.com/decolua/9router,9Router是一个轻量级路由器固件，支持高级网络功能和流量管理。它为需要定制网络解决方案的用户提供基础。,C
https://github.com/Augani/openreel-video,OpenReel Video是一个开源视频录制和编辑工具，支持多轨道编辑和特效添加。它为视频创作者提供免费的专业级解决方案。,JavaScript
https://github.com/openai/symphony,OpenAI Symphony是OpenAI的多模态代理框架，支持协调多个AI模型协作完成任务。它展示了大模型在复杂任务中的编排能力。,Python
https://github.com/CloakHQ/CloakBrowser,CloakBrowser是一个隐私保护浏览器，集成VPN和追踪防护功能。它帮助用户在浏览时保护个人信息和数据安全。,Rust
https://github.com/awslabs/aidlc-workflows,AIDC Workflows是AWS的AI驱动开发工作流工具，优化软件开发和部署流程。它帮助团队提升开发效率和代码质量。,TypeScript
https://github.com/HKUDS/AI-Trader,AI Trader是香港大学开源的AI交易系统，结合机器学习进行市场预测和策略优化。它支持加密货币和股票的交易分析。,Python
https://github.com/flutter/skills,Flutter Skills是Flutter官方提供的技能库，帮助开发者快速掌握跨平台应用开发。它涵盖从基础到高级的完整学习路径。,Dart
https://github.com/rohitg00/agentmemory,Agent Memory是AI Agent的记忆管理框架，支持长期记忆存储和检索。它帮助Agent在多轮对话中保持上下文连贯性。,Python
https://github.com/datawhalechina/easy-vibe,Easy Vibe是Datawhale开发的AI工具集，简化日常开发任务的自动化处理。它提供开箱即用的模板和配置。,Python
https://github.com/masterking32/MasterDnsVPN,MasterDnsVPN是一个DNS代理工具，提供网络加速和隐私保护功能。它通过自定义DNS服务改善网络体验。,Python
https://github.com/playcanvas/supersplat,SuperSplat是一个3D高斯泼溅编辑工具，支持大规模点云数据的可视化和编辑。它用于3D重建和数字内容创作。,TypeScript
https://github.com/oracle-devrel/oracle-ai-developer-hub,Oracle AI Developer Hub是Oracle提供的AI开发者资源中心，汇集文档、教程和最佳实践。它帮助开发者快速上手Oracle云AI服务。,Python
https://github.com/jundot/omlx,OMLX是一个开放机器学习交换格式，促进不同ML框架间的模型互操作。它简化模型部署和迁移的流程。,Python
https://github.com/withastro/flue,Flue是一个Astro框架扩展，提供快速开发和现代Web构建工具。它帮助开发者更高效地构建静态和动态网站。,TypeScript
https://github.com/THU-MAIC/OpenMAIC,OpenMAIC是清华大学的多智能体协作框架，用于研究AI Agent的协作能力。它支持复杂任务的分解和协调执行。,Python
https://github.com/yikart/AiToEarn,AiToEarn是一个AI辅助的收入优化工具，帮助用户发现和利用AI赚钱机会。它整合多种AI工具和变现策略。,Python
https://github.com/tinyhumansai/openhuman,OpenHuman是一个开放的人形机器人项目，集成了AI感知和运动控制能力。它推动家庭和服务机器人的研究发展。,Python
https://github.com/millionco/react-doctor,React Doctor是一个React应用诊断工具，自动检测和修复常见问题。它帮助开发者维护代码质量和性能。,TypeScript
https://github.com/rasbt/LLMs-from-scratch,LLMs from Scratch是Sebastian Raschka的书，从零开始实现大语言模型。它帮助读者深入理解LLM的内部工作机制。,Python