项目地址,项目说明,语言
https://github.com/cocoindex-io/cocoindex,CocoIndex 是一个面向 AI 的高性能数据转换框架，专为 LLM 应用和 AI Agent 提供持续新鲜的上下文数据。核心引擎采用 Rust 编写，内置增量处理和数据血缘追踪功能，极大提升了 AI 数据管道的开发效率。支持代码库、会议记录、邮件、Slack、PDF、视频等多种数据源接入。从第一天起即可投入生产使用，大幅降低 AI 应用的数据基础建设成本。,Rust / Python
https://github.com/tursodatabase/turso,Turso Database 是用 Rust 从头构建的下一代 SQLite 兼容进程内 SQL 数据库引擎。目标是在保持 SQLite 兼容性的同时，提供更高性能、更丰富特性（如云同步）的数据存储方案。当前处于 BETA 阶段，适合追求高性能本地数据库解决方案的 Rust 开发者尝鲜。,Rust
https://github.com/datawhalechina/hello-agents,Hello-Agents 是 Datawhale 社区推出的系统性 AI Agent 学习教程，覆盖从零开始构建智能体系统的完整知识体系。教程兼顾理论与实战，适合希望掌握 Agent 开发的开发者和研究者。在 2025 年 Agent 元年背景下，填补了中文社区缺乏系统性 Agent 实践教程的空白。内容持续更新，并接受社区贡献。,Python
https://github.com/trimstray/the-book-of-secret-knowledge,The Book of Secret Knowledge 是一个面向系统管理员、DevOps 工程师和网络安全专家的超级知识库，汇集了大量实用列表、手册、速查表、命令行工具和黑客技巧。涵盖 Linux 操作、Web 安全、网络管理、DevOps 最佳实践等广泛技术领域，是开发者日常工作中不可或缺的参考资源。GitHub 星标超过 115k，是程序员必收藏的开源宝库之一。,无（文档类）
https://github.com/ZJU-LLMs/Foundations-of-LLMs,《大语言模型基础》是浙江大学 LLMs 团队出品的开源教材，系统讲解大语言模型的核心技术原理与工程实践。内容覆盖 Transformer 架构、预训练、微调、RLHF、RAG 等关键技术，适合高校学生、研究人员和工程师深入学习 LLM 全栈知识。,无（文档类）
https://github.com/anthropics/skills,Anthropic 官方发布的 Claude Code 技能（Skills）集合，提供可用于扩展 Claude Code 能力的官方示例技能包。帮助开发者学习如何为 Claude Code 编写自定义技能，覆盖多种实际工程场景。,无（配置/文档类）
https://github.com/apurvsinghgautam/robin,Robin 是一个轻量级 AI Agent 框架，专注于构建简洁、可扩展的 AI 助手工作流。支持工具调用、多步推理等 Agent 核心能力，适合快速搭建自定义 AI 自动化任务。,Python
https://github.com/Shubhamsaboo/awesome-llm-apps,Awesome LLM Apps 是一个精心整理的 LLM 应用案例集合，收录了基于 GPT、Claude、Gemini 等主流大模型构建的各类实用 AI 应用。每个案例均附带完整代码和教程，涵盖 RAG、AI Agent、多模态应用等热门方向，是学习 LLM 应用开发的绝佳参考仓库。,Python
https://github.com/NanmiCoder/MediaCrawler,MediaCrawler 是一款支持多平台社交媒体数据采集的开源爬虫工具，支持小红书、微博、抖音、B 站、知乎等主流平台的内容抓取。基于 Python 和 Playwright 实现，支持关键词搜索、用户主页、评论区等多维度数据采集，是舆情分析和市场研究的利器。,Python
https://github.com/shareAI-lab/learn-claude-code,learn-claude-code 是一个专注于 Claude Code 使用技巧和最佳实践的学习资源库，帮助开发者快速上手 Anthropic 的 AI 编程助手工具。包含各类实战示例、配置技巧和使用教程，适合希望提升 AI 辅助编程效率的开发者。,无（文档类）
https://github.com/anthropics/claude-code-action,claude-code-action 是 Anthropic 官方发布的 GitHub Action，将 Claude AI 能力集成到 GitHub 工作流中。支持自动代码审查、PR 助手、Issue 响应等功能，让 Claude 成为 CI/CD 流程中的智能协作伙伴，大幅提升团队研发效率。,TypeScript
https://github.com/ChromeDevTools/chrome-devtools-mcp,chrome-devtools-mcp 是 Chrome DevTools 团队推出的 MCP（Model Context Protocol）服务器，允许 AI 助手通过标准协议与 Chrome 浏览器调试工具交互。支持页面检查、性能分析、网络请求监控等 DevTools 核心功能，为 AI 辅助前端调试开辟了新路径。,TypeScript
https://github.com/patchy631/ai-engineering-hub,AI Engineering Hub 是一个系统性的 AI 工程学习资源合集，覆盖 LLM 应用开发、RAG 系统、AI Agent、模型微调等工程实践领域。提供大量配套代码和教程，适合希望从工程视角深入掌握 AI 技术的开发者。,Python
https://github.com/MiroMindAI/MiroThinker,MiroThinker 是一个 AI 驱动的思维导图和可视化推理工具，将大语言模型的推理能力与 Miro 白板的协作可视化相结合。支持将 AI 的思考过程以结构化图形方式呈现，适用于头脑风暴、项目规划等场景。,Python
https://github.com/HKUDS/VideoRAG,VideoRAG 是香港大学数据科学团队推出的视频检索增强生成框架，实现了对长视频内容的语义理解和精准问答。通过将视频切片与向量检索结合，支持基于自然语言对视频内容进行深度检索，是多模态 RAG 领域的前沿研究成果。,Python
https://github.com/netbirdio/netbird,NetBird 是基于 WireGuard® 构建的开源零配置安全网络平台，将点对点私有网络与集中式访问控制无缝结合。无需复杂 VPN 配置，即可在几秒内将设备加入私有覆盖网络，支持 SSO 集成和精细化访问策略，是企业远程办公和 Zero Trust 网络架构的理想选择。,Go
https://github.com/C4illin/ConvertX,ConvertX 是一款自托管的在线文件格式转换工具，支持超过 1000 种文件格式的互转，涵盖视频、文档、图像、音频等各类文件类型。基于 Docker 部署，数据本地处理保障隐私安全，适合个人和企业搭建私有文件转换服务。界面简洁，操作便捷，NAS 用户友好。,TypeScript
https://github.com/Johnshall/Shadowrocket-ADBlock-Rules-Forever,Shadowrocket-ADBlock-Rules-Forever 提供持续维护的 Shadowrocket 广告屏蔽规则集，支持全局过滤广告、追踪器和恶意域名。规则定期自动更新，覆盖主流广告联盟和追踪服务，适合 iOS Shadowrocket 用户用于提升上网体验和隐私保护。,无（规则/配置类）
https://github.com/hacksider/Deep-Live-Cam,Deep-Live-Cam 是一款基于深度学习的实时换脸直播工具，支持单张照片实现视频流中的人脸实时替换。内置 NSFW 内容过滤保障合规使用，适用于创意娱乐、虚拟形象等场景。警告：请遵守当地法律法规，禁止用于非法用途。,Python
https://github.com/gyoridavid/ai_agents_az,ai_agents_az 是一个从零到精通的 AI Agent 学习课程仓库，涵盖 Agent 设计模式、工具调用、多 Agent 协作等核心主题。提供配套代码和教程，适合希望系统学习 AI Agent 开发的工程师和研究者。,Python
https://github.com/OpenBMB/ChatDev,ChatDev 是清华大学 OpenBMB 团队推出的 AI 软件公司模拟框架，由多个扮演不同角色（CEO、CTO、程序员、测试员等）的 LLM Agent 协作完成软件开发任务。通过自然语言需求描述即可自动生成完整可运行的软件项目，是多 Agent 协作研究领域的标志性成果之一。,Python
https://github.com/chidiwilliams/buzz,Buzz 是一款开源的桌面音频转文字工具，基于 OpenAI Whisper 模型实现本地离线语音识别。支持 macOS、Windows 和 Linux 三大平台，可转录麦克风输入或媒体文件，保护用户隐私数据不上传云端，界面简洁易用。,Python
https://github.com/grab/cursor-talk-to-figma-mcp,cursor-talk-to-figma-mcp 是 Grab 开源的 MCP 服务器，让 Cursor AI 编辑器能够直接与 Figma 设计稿交互。通过自然语言描述即可读取设计元素、提取 CSS 样式、生成对应代码，实现设计到代码的智能协作，大幅提升前端开发效率。,TypeScript
https://github.com/rancher/rancher,Rancher 是业界领先的开源 Kubernetes 管理平台，提供跨多云、多集群的统一容器管理能力。支持在任意基础设施上部署和管理 Kubernetes 集群，内置完整的访问控制、监控告警和应用商店，是企业级 K8s 运维的首选开源工具。,Go
https://github.com/cilium/cilium,Cilium 是基于 eBPF 技术的开源 Kubernetes 网络、安全和可观测性解决方案，是云原生网络领域的标志性项目。利用 Linux 内核 eBPF 程序动态注入安全和可见性逻辑，无需修改应用程序或容器配置，性能卓越且与内核深度集成，已成为众多大型企业 K8s 集群的核心网络插件。,Go
https://github.com/wavetermdev/waveterm,Wave Terminal 是一款开源跨平台现代终端工具，内置 AI 助手、文件预览、网页浏览器和 SSH 管理等高级功能。界面采用标签页和窗口化布局，将传统命令行与现代 GUI 工具整合为一体，适合追求高效工作流的开发者日常使用。,Go / TypeScript
https://github.com/ComposioHQ/awesome-claude-skills,Awesome Claude Skills 是 ComposioHQ 整理的 Claude Code Skills 精选合集，收录了各类高质量、可直接使用的 Claude Code 技能包。涵盖代码审查、项目管理、调试辅助等多种应用场景，帮助开发者快速扩展 Claude Code 的工作能力。,无（文档类）
https://github.com/nautechsystems/nautilus_trader,NautilusTrader 是专为专业量化交易者设计的高性能、低延迟事件驱动型算法交易平台，核心引擎由 Rust 实现，Python 提供策略开发接口。支持微秒级数据处理、多资产类别策略、回测与实盘统一架构，是开源量化交易领域的顶尖框架之一，适合追求极致性能的量化工程师。,Python / Rust
https://github.com/DataTalksClub/data-engineering-zoomcamp,Data Engineering Zoomcamp 是 DataTalks.Club 推出的免费数据工程训练营课程，涵盖 BigQuery、Spark、Kafka、dbt、Airflow 等主流数据工程工具的系统教学。每年定期开班，提供完整视频、代码和作业，是数据工程师转型和进阶的最佳学习资源之一。,Python
https://github.com/alirezarezvani/claude-skills,个人开发者分享的 Claude Code Skills 集合，包含各类实用工作流技能，用于扩展 Claude Code 的自动化处理能力，覆盖代码生成、文档撰写等场景。,无（配置类）
https://github.com/lukasz-madon/awesome-remote-job,Awesome Remote Job 是一个专注于远程工作资源的精心整理合集，收录了招聘网站、公司列表、工具推荐、社区论坛等远程工作全流程所需资源。内容持续更新，适合求职者、自由职业者和远程工作爱好者参考使用，是远程工作领域最受欢迎的 Awesome 系列资源之一。,无（文档类）
https://github.com/EveryInc/compound-engineering-plugin,compound-engineering-plugin 是 Every Inc. 开发的工程效率插件，通过 AI 辅助实现复合工程工作流的自动化和加速，适用于软件开发生命周期的多个环节。,TypeScript
https://github.com/liyupi/ai-guide,ai-guide 是程序员鱼皮（liyupi）整理的 AI 工具和学习资源导航，系统梳理了国内外主流 AI 工具的使用场景、入门方法和学习路径。适合初学者快速了解 AI 领域全貌，也是开发者跟踪 AI 工具生态的实用参考手册。,无（文档类）
https://github.com/block/goose,Goose 是 Block（前 Square）开源的本地 AI Agent 工具，支持在本地运行各种 AI 任务、调用工具和执行代码。强调隐私和本地优先，不依赖云端服务，适合对数据隐私有较高要求的开发者使用。,Python / Rust
https://github.com/Asabeneh/30-Days-Of-Python,30 Days of Python 是一套由浅入深的 Python 30 天学习挑战教程，每天一个主题，覆盖从基础语法到数据处理、Web 开发、数据科学等进阶内容。内容免费、中文友好，是全球最受欢迎的 Python 自学教程之一，GitHub 星标超过 45k。,Python
https://github.com/OpenBMB/UltraRAG,UltraRAG 是清华大学 OpenBMB 团队推出的企业级 RAG（检索增强生成）系统，支持多种文档格式、多路召回策略和灵活的知识库管理。提供完整的端到端 RAG 解决方案，适合企业构建私有知识库问答系统，是国内 RAG 工程化的优秀开源项目。,Python
https://github.com/moltbot/moltbot,moltbot 是一个 AI 驱动的自动化机器人框架，支持构建自定义工作流和任务自动化 Agent，适用于各类重复性任务的智能化处理。,Python
https://github.com/reconurge/flowsint,Flowsint 是一款开源的 OSINT（开源情报）调查工具，通过可视化流程图的方式串联多种情报收集手段，帮助安全研究人员和调查人员高效进行目标信息收集和关联分析。,Python
https://github.com/amantus-ai/vibetunnel,VibeTunnel 是一个将本地终端和开发环境安全暴露到互联网的隧道工具，让开发者可以通过任意浏览器远程访问本地服务和终端。支持 AI Agent 远程操控本地环境，适合远程开发、演示和协作场景。,Go / TypeScript
https://github.com/langchain-ai/rag-from-scratch,RAG From Scratch 是 LangChain 官方出品的 RAG 技术从零实现系列教程，通过完整的代码示例逐步讲解 RAG 系统的各个组成部分。涵盖文档加载、向量检索、重排序、高级 RAG 策略等核心技术，是学习 RAG 工程实践的权威教程。,Python
https://github.com/openai/skills,OpenAI 官方发布的 Skills 集合，提供扩展 OpenAI 开发工具能力的官方技能示例，涵盖多种实际工程应用场景。,无（配置/文档类）
https://github.com/disler/claude-code-hooks-mastery,claude-code-hooks-mastery 是一个专注于 Claude Code Hooks（钩子）高级用法的学习仓库，通过大量实战示例展示如何利用 Hooks 机制定制 Claude Code 的行为流程，实现更精细的 AI 编程工作流控制。,Python
https://github.com/ankitects/anki,Anki 是全球最流行的开源间隔重复学习软件，通过科学的记忆曲线算法帮助用户高效记忆各类知识。支持自定义卡片模板、多媒体内容、插件扩展和多平台同步，广泛应用于语言学习、医学考试、资格证备考等场景，是记忆类软件的行业标杆。,Rust / Python
https://github.com/fish-shell/fish-shell,Fish（Friendly Interactive SHell）是一款注重用户体验的现代化命令行 Shell，开箱即用地提供语法高亮、自动补全、Web 配置界面等高级特性。无需复杂配置即可获得极佳的交互体验，是对 Bash/Zsh 的现代化替代方案，深受开发者喜爱。,Rust / C++
https://github.com/linshenkx/prompt-optimizer,Prompt Optimizer 是一款 AI 提示词优化工具，能够自动分析和改善用户输入的提示词质量，使其更符合大语言模型的理解习惯。支持多种优化策略和自定义规则，帮助开发者和普通用户获得更好的 AI 交互效果。,Python
https://github.com/ZeroTworu/anet,anet 是一个轻量级 Python 异步网络库，提供简洁的 API 用于构建高性能异步网络应用和服务，适合对网络编程有特定需求的 Python 开发者使用。,Python
https://github.com/DataExpert-io/data-engineer-handbook,Data Engineer Handbook 是由数据工程社区共同维护的数据工程师学习手册，系统整理了成为专业数据工程师所需掌握的核心技能、工具和资源。内容涵盖数据仓库、流处理、数据质量、职业发展等全方位主题，是数据工程领域最受推崇的开源学习指南之一。,无（文档类）
https://github.com/carlvellotti/claude-code-pm-course,claude-code-pm-course 是一门面向产品经理的 Claude Code 使用课程，教授非技术背景人员如何借助 AI 编程工具参与和推动软件开发流程，降低产品经理参与技术决策的门槛。,无（文档类）
https://github.com/cheahjs/free-llm-api-resources,free-llm-api-resources 是一个持续更新的免费大语言模型 API 资源汇总，收录了各平台提供的免费额度、开放接口和试用服务信息。帮助开发者在预算有限的情况下快速找到可用的 LLM API 资源，是 AI 应用开发者的实用参考。,无（文档类）
https://github.com/Jeffallan/claude-skills,个人开发者整理的 Claude Code Skills 集合，涵盖多种实用开发工作流和自动化技能，用于增强 Claude Code 的日常开发辅助能力。,无（配置类）
https://github.com/cinnyapp/cinny,Cinny 是一款基于 Matrix 协议的开源即时通讯客户端，提供类 Slack/Discord 的现代化聊天界面。支持端对端加密、多服务器接入和自托管部署，是注重隐私保护的团队协作和个人通讯的优质选择。,TypeScript
https://github.com/HandsOnLLM/Hands-On-Large-Language-Models,《Hands-On Large Language Models》是一本配套 O'Reilly 出版社同名书籍的开源代码仓库，提供大量动手实践的 LLM 项目代码。内容覆盖文本嵌入、语义搜索、文本分类、文本生成、微调等核心 LLM 技术，是 LLM 工程实践的权威参考书。,Python
https://github.com/google-deepmind/superhuman,Superhuman 是 Google DeepMind 发布的研究项目，探索 AI 在特定任务上超越人类专家水平的方法和评估框架，是 AI 能力边界研究的前沿成果。,Python
https://github.com/Zipstack/unstract,Unstract 是一款无代码的 LLM 驱动文档处理平台，能够自动从非结构化 PDF、合同、报表等文档中提取结构化数据。支持自定义提取模板和 API 集成，大幅降低企业文档数字化的技术门槛，是文档 AI 领域的优秀开源解决方案。,Python
https://github.com/moonshine-ai/moonshine,Moonshine 是由 Useful Sensors 推出的轻量级语音识别模型，针对边缘设备和实时语音转文字场景优化，速度比同精度 Whisper 模型快数倍。支持英语识别，适合在 Raspberry Pi、手机等资源受限设备上部署本地语音识别服务。,Python
https://github.com/ashishps1/awesome-system-design-resources,Awesome System Design Resources 是一个系统设计学习资源精选合集，涵盖分布式系统、数据库设计、缓存策略、消息队列、微服务等核心系统设计主题。适合准备技术面试、学习系统架构的工程师使用，是系统设计领域最受欢迎的 Awesome 系列资源之一。,无（文档类）
https://github.com/NirDiamant/RAG_Techniques,RAG Techniques 是一个系统梳理各类 RAG 进阶技术的实践手册，涵盖 Naive RAG、Advanced RAG、Modular RAG 等多种架构模式，每种技术配有完整代码实现。是目前 GitHub 上最全面的 RAG 技术图谱之一，适合深入研究检索增强生成的工程师参考。,Python
https://github.com/huggingface/skills,Hugging Face 官方发布的 Skills 集合，提供扩展 AI 开发工具的官方技能示例，覆盖模型推理、数据集处理等核心 ML 工程场景。,无（配置/文档类）
https://github.com/databricks-solutions/ai-dev-kit,AI Dev Kit 是 Databricks 发布的 AI 应用开发工具包，提供在 Databricks 平台上构建、评估和部署 AI 应用的完整开发脚手架和最佳实践。,Python
https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering,Agent Skills for Context Engineering 聚焦于上下文工程（Context Engineering）这一 AI 应用开发核心技术，提供系统性的技能集和最佳实践，帮助开发者构建能高效管理和利用上下文的 AI Agent。,无（配置/文档类）
https://github.com/f/prompts.chat,prompts.chat 是一个实用的 ChatGPT 提示词工程网站对应的开源项目，收录了数百个针对不同角色和场景优化的系统级提示词（System Prompts）。是 AI 提示工程领域引用率最高的开源资源之一，GitHub 星标超过 110k。,无（文档类）
https://github.com/mihail911/modern-software-dev-assignments,modern-software-dev-assignments 是一套面向现代 AI 辅助软件开发的学习作业集，通过实际工程任务帮助开发者掌握将 AI 工具融入日常开发工作流的最佳实践。,Python
https://github.com/ruvnet/ruvector,ruvector 是一个高性能向量数据库和相似度搜索引擎，专为 AI 应用的语义检索场景优化，支持大规模向量存储和毫秒级近似最近邻搜索。,Rust / Python
https://github.com/GVCLab/PersonaLive,PersonaLive 是一个 AI 数字人生成和直播互动系统，通过大语言模型驱动虚拟角色进行实时对话和直播互动，适用于虚拟主播、客服机器人等应用场景。,Python
https://github.com/farion1231/cc-switch,cc-switch 是一个 Claude Code 账号/配置快速切换工具，帮助需要管理多个 Claude Code 账号或配置的开发者高效切换工作环境。,Shell
https://github.com/ruvnet/ruflo,ruflo 是一个 AI 驱动的工作流自动化框架，支持通过可视化节点编排复杂的多步骤 AI 任务流程，适合构建企业级 AI 自动化解决方案。,Python
https://github.com/NousResearch/hermes-agent,hermes-agent 是 NousResearch 发布的开源 AI Agent 框架，基于 Hermes 系列模型构建，支持工具调用、多轮对话和复杂推理任务，是开源 Agent 生态中的重要成员。,Python
https://github.com/NVlabs/GR00T-WholeBodyControl,GR00T-WholeBodyControl 是 NVIDIA Research 发布的机器人全身控制研究框架，基于 Project GR00T 基础模型实现人形机器人的全身协调运动控制，是具身智能领域的前沿研究成果。,Python
https://github.com/microsoft/markitdown,MarkItDown 是微软 AutoGen 团队开源的文档转 Markdown 工具，支持将 Word、Excel、PowerPoint、PDF、HTML、图片等多种格式文件转换为 LLM 友好的 Markdown 格式。简单易用、转换质量高，GitHub 星标超过 106k，是 AI 文档预处理流程中的利器。,Python
https://github.com/K-Dense-AI/claude-scientific-skills,claude-scientific-skills 是专为科学研究场景设计的 Claude Code Skills 集合，提供文献检索、数据分析、实验记录等科研工作流自动化技能，帮助科研人员提升工作效率。,无（配置类）
https://github.com/agentscope-ai/agentscope,AgentScope 是阿里巴巴开源的多 Agent 应用开发框架，提供简洁的 API 和丰富的内置 Agent 组件，支持快速构建生产级多 Agent 系统。内置通信协议、状态管理和容错机制，是国内多 Agent 框架的优秀代表。,Python
https://github.com/agentscope-ai/ReMe,ReMe 是 AgentScope 团队推出的 AI Agent 记忆管理系统，为 Agent 提供长期记忆存储、检索和更新能力，解决 LLM 上下文窗口有限导致的记忆遗失问题，是构建有状态 Agent 应用的重要基础组件。,Python
https://github.com/LMCache/LMCache,LMCache 是一个专为大语言模型推理优化的 KV Cache 共享与复用框架，通过跨请求、跨实例的 KV Cache 共享显著降低 LLM 推理延迟和计算成本。在长文档问答、多轮对话等场景下性能提升显著，是 LLM 推理基础设施的前沿优化技术。,Python
https://github.com/xpzouying/xiaohongshu-mcp,xiaohongshu-mcp 是一个小红书 MCP（Model Context Protocol）服务器，允许 AI 助手通过标准协议与小红书平台交互，支持内容搜索、笔记获取等功能，为 AI 应用接入小红书数据提供便捷方案。,Go
https://github.com/openclaw/clawhub,ClawHub 是一个 AI 工具和资源聚合平台，提供多种 AI 服务的统一接入和管理能力，适合希望集中管理和使用多个 AI 工具的开发者和团队。,Python
https://github.com/msitarzewski/agency-agents,agency-agents 是一个面向创意营销代理公司场景设计的 AI Agent 框架，支持自动化营销文案生成、创意方案策划等广告公司日常工作流程。,Python
https://github.com/FujiwaraChoki/MoneyPrinterV2,MoneyPrinterV2 是一款 AI 自动生成视频内容并发布到 YouTube 等平台的自动化工具，支持从选题、脚本生成到视频渲染的全流程自动化。通过 AI 技术降低内容创作门槛，适合希望通过视频内容变现的创作者使用。请注意遵守各平台服务条款。,Python
https://github.com/ItzCrazyKns/Perplexica,Perplexica 是 Perplexity AI 的开源替代方案，提供 AI 驱动的搜索引擎功能，能够实时联网搜索并以对话方式整合答案。支持本地部署，保护用户隐私，并支持 Ollama 等本地模型接入，是追求隐私保护的用户首选的开源 AI 搜索工具。,TypeScript
https://github.com/FlowiseAI/Flowise,Flowise 是一款开源的低代码 LLM 应用构建平台，通过可视化拖拽界面快速搭建基于 LangChain 的 AI 工作流。支持聊天机器人、RAG 问答、Agent 等多种应用模式，内置多种 LLM 和工具集成，是构建企业级 AI 应用的高效开发工具。,TypeScript
https://github.com/TheCraigHewitt/seomachine,SEO Machine 是一个 AI 驱动的 SEO 内容自动化工具，支持关键词分析、内容生成和 SEO 优化建议，帮助内容营销团队提升搜索引擎排名效率。,Python
https://github.com/inclusionAI/AReaL,AReaL 是由 inclusionAI 团队开源的强化学习框架，专为训练大语言模型推理能力设计，通过基于规则的奖励信号提升模型在数学、代码等推理密集型任务上的表现。,Python
https://github.com/QwenLM/Qwen-Agent,Qwen-Agent 是阿里通义千问团队开源的 AI Agent 框架，基于 Qwen 系列大模型构建，支持函数调用、代码解释器、搜索工具等多种 Agent 能力。提供完整的工具集成接口和多 Agent 协作支持，是基于 Qwen 模型开发 AI 应用的官方推荐框架。,Python
https://github.com/Ed1s0nZ/CyberStrikeAI,CyberStrikeAI 是一个 AI 赋能的网络安全攻防工具集，将大语言模型与渗透测试、漏洞扫描等安全工具结合，辅助安全研究人员进行自动化攻防演练和漏洞分析。,Python
https://github.com/lingfengQAQ/webnovel-writer,webnovel-writer 是一个 AI 辅助网络小说创作工具，利用大语言模型自动续写、优化章节内容，帮助网文作者提升创作效率并保持故事连贯性。,Python
https://github.com/toeverything/AFFiNE,AFFiNE 是一款将笔记、白板、文档和数据库功能融为一体的开源知识管理工具，定位为 Notion 和 Miro 的开源替代方案。支持本地优先、端到端加密、离线使用和多人协作，提供 AI 写作助手功能，界面精美、功能强大，是知识工作者的理想工具。,TypeScript
https://github.com/koala73/worldmonitor,worldmonitor 是一款全球市场监控工具，实时追踪和显示全球股市、商品、外汇等金融市场的动态数据，适合投资者和交易员快速了解全球市场整体状况。,Python
https://github.com/Raphire/Win11Debloat,Win11Debloat 是一款 Windows 11 系统精简工具，通过 PowerShell 脚本自动移除预装的广告软件、无用应用和遥测功能，优化系统隐私设置并提升系统运行速度。操作简单、可逆，是 Windows 用户优化系统体验的实用工具。,PowerShell
https://github.com/promptfoo/promptfoo,promptfoo 是一款专业的 LLM 提示词测试和评估工具，支持对比不同模型和提示词在各类测试用例上的表现，提供自动化评估报告。内置多种评估指标和安全测试功能，是 LLM 应用开发中提示词质量保障的核心工具。,TypeScript
https://github.com/shanraisshan/claude-code-best-practice,claude-code-best-practice 整理了 Claude Code 使用的最佳实践和经验技巧，帮助开发者更高效地利用 Claude Code 进行日常开发工作，避免常见误区。,无（文档类）
https://github.com/langflow-ai/openrag,OpenRAG 是 LangFlow 团队推出的开源 RAG 平台，提供完整的文档导入、向量化、检索和问答流程，支持多种文件格式和向量数据库，是构建企业知识库问答系统的一站式开源解决方案。,Python
https://github.com/InsForge/InsForge,InsForge 是一个 AI 驱动的代码生成和软件工程自动化平台，支持从需求描述自动生成完整的项目代码结构和业务逻辑，加速软件开发全流程。,Python
https://github.com/vectorize-io/hindsight,Hindsight 是 Vectorize.io 开源的 RAG 评估和优化工具，通过分析 RAG 系统的检索质量和生成质量，提供针对性的优化建议，帮助开发者持续改进 RAG 应用的效果。,Python
https://github.com/dolthub/dolt,Dolt 是世界上第一款支持 Git 操作语义的 SQL 数据库，提供完整的版本控制、分支、合并和差异比较功能。完全兼容 MySQL 协议，可用 MySQL 客户端直接连接，是数据版本管理和团队协作数据库的创新解决方案。,Go
https://github.com/Q00/ouroboros,Ouroboros 是一个自我进化的 AI 系统框架，通过反思和自我改进机制让 AI Agent 能够持续优化自身的行为策略和工具使用能力，是 AI 自主学习领域的探索性项目。,Python
https://github.com/dimensionalOS/dimos,DimOS 是一个面向 AI 机器人的操作系统框架，为具身智能（Embodied AI）机器人提供统一的感知、规划和执行接口，支持多模态传感器融合和实时控制循环，是机器人 AI 中间件的前沿探索。,Python
https://github.com/SynkraAI/aiox-core,aiox-core 是 SynkraAI 开源的 AI 应用开发核心框架，提供统一的模型接入、工具管理和 Agent 编排能力，适合快速构建企业级 AI 应用服务。,Python
https://github.com/Crosstalk-Solutions/project-nomad,Project Nomad 是一个跨环境 AI Agent 工作框架，支持 Agent 在不同计算环境和平台间无缝迁移和执行任务，适合需要在多云或混合部署场景下运行 AI 工作流的团队。,Python
https://github.com/sickn33/antigravity-awesome-skills,antigravity-awesome-skills 是个人整理的 Claude Code Skills 精选集，收录了各类提升开发效率的实用技能，覆盖代码生成、测试、文档等多种工程场景。,无（配置类）
https://github.com/langchain-ai/deepagents,DeepAgents 是 LangChain 推出的深度 Agent 框架，支持构建具备长期记忆、多步规划和复杂工具调用能力的高级 AI Agent，是 LangChain 生态中 Agent 能力的重要演进。,Python
https://github.com/YishenTu/claudian,Claudian 是一个基于 Claude 模型的 AI 编程助手增强工具，提供更符合工程实践的代码生成、重构和调试辅助功能，适合希望深度定制 Claude 编程助手行为的开发者。,Python
https://github.com/langchain-ai/open-swe,Open-SWE 是 LangChain 基于 SWE-bench 评测标准构建的开源软件工程 Agent，能够自主分析 GitHub Issue、修改代码并提交 PR。通过模拟真实软件工程师的工作流程，是当前开源社区中代码 Agent 能力的重要评测参考实现。,Python
https://github.com/affaan-m/everything-claude-code,everything-claude-code 是一个全面的 Claude Code 资源汇总仓库，收录了 Claude Code 的使用技巧、插件、Skills、最佳实践和社区经验，是 Claude Code 用户的综合参考手册。,无（文档类）
